,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
2417,0.055,5,0.3,1,0.6,0.8,1,0.77036473,0.869887638,0.120289941,0.159520445,0.205941441,0.122383648,0.424452497,0.491381669,automl\Xgboost_AutoMl_2417
2419,0.055,5,0.3,1,0.6,1,0.8,0.77036473,0.869887638,0.120289941,0.159520445,0.205941441,0.122383648,0.424452497,0.491381669,automl\Xgboost_AutoMl_2419
4629,0.1,6,0.3,0.6,0.866666667,0.8,0.6,0.7961169,0.869876595,0.121550097,0.111896088,0.10660058,0.116662046,0.50149677,0.54803719,automl\Xgboost_AutoMl_4629
1603,0.01,6,0.7,0.6,0.866666667,0.6,0.8,0.741919118,0.869871405,0.153978694,0.258016636,0.265749413,0.254150247,0.446667717,0.509800396,automl\Xgboost_AutoMl_1603
1685,0.01,6,0.7,0.866666667,1,0.6,1,0.76065245,0.869826712,0.155349649,0.209379299,0.222497938,0.20063354,0.483693083,0.537512037,automl\Xgboost_AutoMl_1685
1689,0.01,6,0.7,0.866666667,1,1,0.6,0.76065245,0.869826712,0.155349649,0.209379299,0.222497938,0.20063354,0.483693083,0.537512037,automl\Xgboost_AutoMl_1689
1520,0.01,6,0.566666667,0.866666667,0.6,1,1,0.765560174,0.869791114,0.162979084,0.228151794,0.198974227,0.244824689,0.589097211,0.583580459,automl\Xgboost_AutoMl_1520
3015,0.055,6,0.3,1,1,0.6,0.6,0.786843402,0.869739074,0.122271238,0.136666852,0.185091695,0.097926978,0.485426186,0.536572623,automl\Xgboost_AutoMl_3015
883,0.01,5,0.566666667,0.6,0.866666667,0.6,0.8,0.728010283,0.869708688,0.154565817,0.270531067,0.307083166,0.252255018,0.389475343,0.467429328,automl\Xgboost_AutoMl_883
1459,0.01,6,0.566666667,0.6,0.866666667,0.6,0.8,0.741447938,0.869690006,0.154131983,0.257914288,0.265268933,0.254236965,0.444619505,0.508148015,automl\Xgboost_AutoMl_1459
3245,0.055,6,0.566666667,0.866666667,0.6,0.8,1,0.800205539,0.86966971,0.125508455,0.101853234,0.086424355,0.114196338,0.535371041,0.558514135,automl\Xgboost_AutoMl_3245
3247,0.055,6,0.566666667,0.866666667,0.6,1,0.8,0.800205539,0.86966971,0.125508455,0.101853234,0.086424355,0.114196338,0.535371041,0.558514135,automl\Xgboost_AutoMl_3247
4314,0.1,5,0.433333333,1,1,0.8,0.6,0.806511463,0.869658577,0.120497543,0.103221874,0.121805863,0.086496284,0.531117063,0.580106694,automl\Xgboost_AutoMl_4314
5130,0.1,6,0.7,0.866666667,0.866666667,0.6,0.6,0.80947612,0.869642779,0.125863737,0.120659292,0.103467626,0.136131791,0.596187175,0.614784728,automl\Xgboost_AutoMl_5130
26,0.01,4,0.3,0.6,0.866666667,1,1,0.737144481,0.869627857,0.158940403,0.239000479,0.267638213,0.224681612,0.413738774,0.476890947,automl\Xgboost_AutoMl_26
170,0.01,4,0.433333333,0.6,0.866666667,1,1,0.737144481,0.869627857,0.158940403,0.239000479,0.267638213,0.224681612,0.413738774,0.476890947,automl\Xgboost_AutoMl_170
1702,0.01,6,0.7,1,0.733333333,0.6,0.8,0.706958662,0.869619181,0.147458563,0.236525969,0.286319701,0.208072407,0.269576178,0.3422,automl\Xgboost_AutoMl_1702
3236,0.055,6,0.566666667,0.733333333,1,0.8,1,0.78000042,0.869565509,0.1203108,0.102685645,0.121801908,0.085481009,0.405703482,0.473432616,automl\Xgboost_AutoMl_3236
3238,0.055,6,0.566666667,0.733333333,1,1,0.8,0.78000042,0.869565509,0.1203108,0.102685645,0.121801908,0.085481009,0.405703482,0.473432616,automl\Xgboost_AutoMl_3238
4518,0.1,5,0.7,0.733333333,0.866666667,0.6,0.6,0.796835859,0.869540528,0.124168997,0.109516463,0.117782643,0.1020769,0.521033559,0.551488368,automl\Xgboost_AutoMl_4518
1578,0.01,6,0.566666667,1,1,0.8,0.6,0.749274347,0.869523169,0.149493483,0.225563399,0.292377858,0.187383709,0.436426658,0.502631101,automl\Xgboost_AutoMl_1578
1064,0.01,5,0.7,0.733333333,0.866666667,0.6,1,0.732402389,0.869520123,0.155740479,0.244732691,0.282723239,0.225737417,0.394674649,0.460562603,automl\Xgboost_AutoMl_1064
1068,0.01,5,0.7,0.733333333,0.866666667,1,0.6,0.732402389,0.869520123,0.155740479,0.244732691,0.282723239,0.225737417,0.394674649,0.460562603,automl\Xgboost_AutoMl_1068
3404,0.055,6,0.7,0.866666667,0.866666667,0.6,1,0.777564399,0.869519761,0.121957296,0.120959065,0.126457184,0.116010758,0.4195683,0.483654195,automl\Xgboost_AutoMl_3404
3408,0.055,6,0.7,0.866666667,0.866666667,1,0.6,0.777564399,0.869519761,0.121957296,0.120959065,0.126457184,0.116010758,0.4195683,0.483654195,automl\Xgboost_AutoMl_3408
920,0.01,5,0.566666667,0.733333333,0.866666667,0.6,1,0.732311781,0.869448346,0.155812071,0.244951754,0.282723239,0.226066012,0.394674649,0.460562603,automl\Xgboost_AutoMl_920
924,0.01,5,0.566666667,0.733333333,0.866666667,1,0.6,0.732311781,0.869448346,0.155812071,0.244951754,0.282723239,0.226066012,0.394674649,0.460562603,automl\Xgboost_AutoMl_924
608,0.01,5,0.3,0.6,1,0.8,1,0.738055508,0.869444754,0.151088205,0.227600948,0.26276872,0.210017061,0.388214905,0.461466429,automl\Xgboost_AutoMl_608
610,0.01,5,0.3,0.6,1,1,0.8,0.738055508,0.869444754,0.151088205,0.227600948,0.26276872,0.210017061,0.388214905,0.461466429,automl\Xgboost_AutoMl_610
752,0.01,5,0.433333333,0.6,1,0.8,1,0.738055508,0.869444754,0.151088205,0.227600948,0.26276872,0.210017061,0.388214905,0.461466429,automl\Xgboost_AutoMl_752
