,学习率,叶子节点数量,叶子节点最小样本数量,子采样率,特征采样率,最大深度,max_bin,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,15,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,24
7516,0.125,9,19,0.8,0.3,11,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7516,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7516
7552,0.125,9,19,1,0.3,8,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7552,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7552
7555,0.125,9,19,1,0.3,9,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7555,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7555
7558,0.125,9,19,1,0.3,11,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7558,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7558
7256,0.125,9,14,0.6,0.3,7,100,0.88226988,0.946492195,0.098084025,0.146683867,0.096951377,0.162805492,0.888136127,0.800710227,automl\lightGBM_AutoMl2021_7256,0.837973533,0.921287111,0.103347747,0.172686844,0.112293233,0.183483429,0.748327218,0.746554694,automl\lightGBM_AutoMl2023_7256
7298,0.125,9,14,0.7,0.3,7,100,0.88226988,0.946492195,0.098084025,0.146683867,0.096951377,0.162805492,0.888136127,0.800710227,automl\lightGBM_AutoMl2021_7298,0.837973533,0.921287111,0.103347747,0.172686844,0.112293233,0.183483429,0.748327218,0.746554694,automl\lightGBM_AutoMl2023_7298
7340,0.125,9,14,0.8,0.3,7,100,0.88226988,0.946492195,0.098084025,0.146683867,0.096951377,0.162805492,0.888136127,0.800710227,automl\lightGBM_AutoMl2021_7340,0.837973533,0.921287111,0.103347747,0.172686844,0.112293233,0.183483429,0.748327218,0.746554694,automl\lightGBM_AutoMl2023_7340
7382,0.125,9,14,1,0.3,7,100,0.88226988,0.946492195,0.098084025,0.146683867,0.096951377,0.162805492,0.888136127,0.800710227,automl\lightGBM_AutoMl2021_7382,0.837973533,0.921287111,0.103347747,0.172686844,0.112293233,0.183483429,0.748327218,0.746554694,automl\lightGBM_AutoMl2023_7382
7427,0.125,9,19,0.6,0.3,8,100,0.882124676,0.942980714,0.099844435,0.148337976,0.102163431,0.163419218,0.895383646,0.804729538,automl\lightGBM_AutoMl2021_7427,0.839754271,0.923051952,0.102275775,0.166332182,0.112101263,0.176066364,0.749622275,0.746560619,automl\lightGBM_AutoMl2023_7427
7430,0.125,9,19,0.6,0.3,9,100,0.882124676,0.942980714,0.099844435,0.148337976,0.102163431,0.163419218,0.895383646,0.804729538,automl\lightGBM_AutoMl2021_7430,0.839754271,0.923051952,0.102275775,0.166332182,0.112101263,0.176066364,0.749622275,0.746560619,automl\lightGBM_AutoMl2023_7430
7433,0.125,9,19,0.6,0.3,11,100,0.882124676,0.942980714,0.099844435,0.148337976,0.102163431,0.163419218,0.895383646,0.804729538,automl\lightGBM_AutoMl2021_7433,0.839754271,0.923051952,0.102275775,0.166332182,0.112101263,0.176066364,0.749622275,0.746560619,automl\lightGBM_AutoMl2023_7433
7469,0.125,9,19,0.7,0.3,8,100,0.882124676,0.942980714,0.099844435,0.148337976,0.102163431,0.163419218,0.895383646,0.804729538,automl\lightGBM_AutoMl2021_7469,0.839754271,0.923051952,0.102275775,0.166332182,0.112101263,0.176066364,0.749622275,0.746560619,automl\lightGBM_AutoMl2023_7469
7472,0.125,9,19,0.7,0.3,9,100,0.882124676,0.942980714,0.099844435,0.148337976,0.102163431,0.163419218,0.895383646,0.804729538,automl\lightGBM_AutoMl2021_7472,0.839754271,0.923051952,0.102275775,0.166332182,0.112101263,0.176066364,0.749622275,0.746560619,automl\lightGBM_AutoMl2023_7472
7475,0.125,9,19,0.7,0.3,11,100,0.882124676,0.942980714,0.099844435,0.148337976,0.102163431,0.163419218,0.895383646,0.804729538,automl\lightGBM_AutoMl2021_7475,0.839754271,0.923051952,0.102275775,0.166332182,0.112101263,0.176066364,0.749622275,0.746560619,automl\lightGBM_AutoMl2023_7475
7511,0.125,9,19,0.8,0.3,8,100,0.882124676,0.942980714,0.099844435,0.148337976,0.102163431,0.163419218,0.895383646,0.804729538,automl\lightGBM_AutoMl2021_7511,0.839754271,0.923051952,0.102275775,0.166332182,0.112101263,0.176066364,0.749622275,0.746560619,automl\lightGBM_AutoMl2023_7511
