,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
0,0.05,4,4,0.6,12,0.864345687,0.93097803,0.092081679,0.126453871,0.069485138,0.139688075,0.784699454,0.758417323,automl\GBM_AutoMl_0
1082,0.0875,7,4,0.6,14,0.864344249,0.925830984,0.094226069,0.128323593,0.056260966,0.147534724,0.805100182,0.733944954,automl\GBM_AutoMl_1082
971,0.0875,5,4,0.9,14,0.86433156,0.930692395,0.093194004,0.120489066,0.082084797,0.132161101,0.833333333,0.717731498,automl\GBM_AutoMl_971
877,0.075,8,6,0.8,13,0.864299713,0.926897038,0.093040163,0.119352301,0.051109241,0.137480187,0.795810565,0.726592383,automl\GBM_AutoMl_877
518,0.0625,7,6,0.8,14,0.864295478,0.922594059,0.096325731,0.114997913,0.039866986,0.135558282,0.796448087,0.717921353,automl\GBM_AutoMl_518
615,0.075,4,5,0.6,12,0.864272808,0.927833982,0.100962588,0.13802463,0.069228859,0.15814967,0.834881603,0.731137342,automl\GBM_AutoMl_615
924,0.0875,4,5,0.9,12,0.864260074,0.929466768,0.103894054,0.142440031,0.081767616,0.161784542,0.859380692,0.724814687,automl\GBM_AutoMl_924
939,0.0875,4,6,0.9,12,0.864241488,0.925120103,0.103398095,0.137064481,0.06475467,0.15870885,0.83852459,0.727021478,automl\GBM_AutoMl_939
705,0.075,5,7,0.6,12,0.864218799,0.925284627,0.10382759,0.138045503,0.065902618,0.160424731,0.845810565,0.721993314,automl\GBM_AutoMl_705
901,0.0875,4,4,0.6,13,0.864198124,0.925110226,0.104413245,0.138217302,0.070329708,0.159209199,0.848087432,0.724951343,automl\GBM_AutoMl_901
1339,0.1,6,5,0.7,13,0.864170018,0.933681692,0.097495524,0.140750136,0.103234587,0.152621483,0.862750455,0.730068205,automl\GBM_AutoMl_1339
714,0.075,5,7,0.9,12,0.864149341,0.93175425,0.096485105,0.128612601,0.076412878,0.144416206,0.834608379,0.720044001,automl\GBM_AutoMl_714
1302,0.1,5,6,1,12,0.864098191,0.928255791,0.098021762,0.136288173,0.072155407,0.15547623,0.836976321,0.725822375,automl\GBM_AutoMl_1302
1268,0.1,5,4,0.8,14,0.864041402,0.93184296,0.093194414,0.124736682,0.088872152,0.135560584,0.836520947,0.722687753,automl\GBM_AutoMl_1268
690,0.075,5,6,0.6,12,0.864036143,0.926446827,0.097977887,0.127658874,0.060787945,0.146640007,0.818214936,0.725979798,automl\GBM_AutoMl_690
896,0.075,8,7,0.9,14,0.864010011,0.924829659,0.103310975,0.139195915,0.064752846,0.161591963,0.83989071,0.726599433,automl\GBM_AutoMl_896
430,0.0625,6,4,0.9,13,0.864002808,0.930390823,0.094614822,0.122534601,0.067413006,0.138553193,0.818943534,0.719244921,automl\GBM_AutoMl_430
382,0.0625,5,5,0.8,13,0.863963333,0.923234803,0.099532018,0.132823288,0.044882839,0.156154135,0.803642987,0.734140355,automl\GBM_AutoMl_382
1337,0.1,6,5,0.6,14,0.863945674,0.923565006,0.099306013,0.13247407,0.064777292,0.152446822,0.83132969,0.725336724,automl\GBM_AutoMl_1337
699,0.075,5,6,0.9,12,0.863943439,0.932491349,0.09736899,0.130286439,0.085945745,0.144085263,0.844717668,0.720052791,automl\GBM_AutoMl_699
816,0.075,7,6,0.8,12,0.863836823,0.926025511,0.103157805,0.139571626,0.068296764,0.161187198,0.842076503,0.725945118,automl\GBM_AutoMl_816
786,0.075,7,4,0.8,12,0.863829406,0.92586855,0.102111898,0.144601169,0.069207677,0.167289295,0.843442623,0.729586009,automl\GBM_AutoMl_786
1406,0.1,7,5,0.9,14,0.863825401,0.933239467,0.09686852,0.14228509,0.09796796,0.156129233,0.857285974,0.729548537,automl\GBM_AutoMl_1406
1230,0.1,4,6,0.6,12,0.863823391,0.927110753,0.102433315,0.135938955,0.063532783,0.157529807,0.833697632,0.724037017,automl\GBM_AutoMl_1230
997,0.0875,5,6,0.8,13,0.863774692,0.923968535,0.102112807,0.132251694,0.065644958,0.152010597,0.833333333,0.725355741,automl\GBM_AutoMl_997
1029,0.0875,6,4,0.9,12,0.863759025,0.931460354,0.09248848,0.116218169,0.087374966,0.125205324,0.835428051,0.711747362,automl\GBM_AutoMl_1029
1171,0.0875,8,6,0.6,13,0.863744457,0.924806526,0.093190223,0.123481102,0.054271608,0.140871421,0.789981785,0.738621365,automl\GBM_AutoMl_1171
1066,0.0875,6,7,0.6,13,0.863667045,0.922284867,0.098245634,0.121226839,0.051577963,0.140759339,0.809107468,0.721660371,automl\GBM_AutoMl_1066
1355,0.1,6,6,0.7,14,0.863638494,0.930296953,0.098082591,0.14194952,0.089679588,0.158030297,0.851639344,0.729606367,automl\GBM_AutoMl_1355
247,0.05,8,4,0.8,13,0.863578798,0.930487124,0.092620689,0.130180469,0.064318994,0.147348393,0.800910747,0.737195071,automl\GBM_AutoMl_247
836,0.075,7,7,0.9,14,0.863534833,0.927739142,0.097827294,0.134347805,0.069217663,0.153127133,0.826502732,0.728359886,automl\GBM_AutoMl_836
1351,0.1,6,6,0.6,13,0.863514927,0.931685394,0.10019402,0.139634244,0.100708624,0.15186205,0.85992714,0.730013917,automl\GBM_AutoMl_1351
301,0.0625,4,4,0.6,13,0.863492773,0.923307358,0.102560747,0.140070968,0.048971424,0.164968107,0.814571949,0.734680467,automl\GBM_AutoMl_301
108,0.05,5,7,0.7,12,0.863486505,0.924751141,0.097345695,0.126555827,0.049974607,0.146363903,0.795446266,0.734597754,automl\GBM_AutoMl_108
1308,0.1,5,7,0.7,12,0.863448051,0.934037872,0.09599005,0.132741402,0.095464975,0.144378898,0.848542805,0.722304055,automl\GBM_AutoMl_1308
677,0.075,5,5,0.6,14,0.863400024,0.92686875,0.100479599,0.135370573,0.060634146,0.157745348,0.830236794,0.719778918,automl\GBM_AutoMl_677
638,0.075,4,6,0.8,14,0.863397912,0.921422603,0.101629044,0.130560997,0.057994434,0.150595714,0.816211293,0.732938049,automl\GBM_AutoMl_638
1179,0.0875,8,6,0.9,12,0.863368767,0.930510206,0.096894336,0.134339777,0.093084741,0.146928961,0.846357013,0.727664239,automl\GBM_AutoMl_1179
649,0.075,4,7,0.7,13,0.863343701,0.920201119,0.102878969,0.130607559,0.059209411,0.151605095,0.82859745,0.723959577,automl\GBM_AutoMl_649
317,0.0625,4,5,0.6,14,0.863256066,0.918197426,0.102952353,0.128355705,0.035690691,0.15356501,0.802823315,0.725514403,automl\GBM_AutoMl_317
1081,0.0875,7,4,0.6,13,0.863248154,0.928954487,0.08849324,0.109024277,0.052663428,0.122678315,0.769763206,0.730952175,automl\GBM_AutoMl_1081
19,0.05,4,5,0.7,13,0.863245566,0.922895946,0.098397977,0.126211425,0.053637157,0.144628191,0.794808743,0.740015263,automl\GBM_AutoMl_19
1202,0.1,4,4,0.6,14,0.863242837,0.925345935,0.100309031,0.129497287,0.065898033,0.148601629,0.830692168,0.71912327,automl\GBM_AutoMl_1202
1402,0.1,7,5,0.8,13,0.863237332,0.927269978,0.093463144,0.11936354,0.067697894,0.134028694,0.812112933,0.720565657,automl\GBM_AutoMl_1402
145,0.05,6,5,0.9,13,0.863133918,0.92701423,0.095869216,0.128267397,0.052476343,0.148462727,0.799453552,0.72894868,automl\GBM_AutoMl_145
1365,0.1,6,7,0.6,12,0.86309533,0.926044427,0.09765172,0.13452121,0.076124069,0.151821096,0.83424408,0.726580471,automl\GBM_AutoMl_1365
